Timestamp,Location,Mode,Position,KillCount
2018/04/10 6:10:47 AM EST,C5,Solo,28,1
2018/04/10 9:47:35 AM EST,D5,Solo,1,12
2018/04/10 10:31:39 AM EST,D7,Solo,2,5
2018/04/10 10:41:54 AM EST,F3,Squad,1,2
2018/04/10 11:53:31 AM EST,B2,Solo,1,2
2018/04/10 12:02:37 PM EST,F5,Solo,33,3
2018/04/10 2:00:04 PM EST,H5,Solo,2,7
2018/04/10 3:28:05 PM EST,D8,Solo,4,4
2018/04/10 4:46:38 PM EST,B2,Squad,1,7
2018/04/10 6:59:52 PM EST,D5,Solo,1,11
2018/04/10 8:37:43 PM EST,E8,Solo,40,3
2018/04/11 11:55:37 AM EST,D5,Solo,12,1
2018/04/11 11:58:37 AM EST,B3,Duo,2,5
2018/04/11 1:07:21 PM EST,D5,Solo,67,0
2018/04/11 3:14:37 PM EST,G4,Solo,1,1
2018/04/11 6:39:40 PM EST,A5,Squad,3,4
2018/04/11 9:36:01 PM EST,D5,Solo,20,4
2018/04/12 11:33:29 AM EST,H8,Solo,1,3
2018/04/12 5:00:24 PM EST,I8,Solo,1,9
2018/04/12 5:16:21 PM EST,F2,Squad,1,3
2018/04/12 7:26:25 PM EST,H8,Solo,1,5
2018/04/12 9:30:38 PM EST,F3,Squad,4,0
2018/04/12 11:08:43 PM EST,F7,Solo,1,6
2018/04/12 11:08:47 PM EST,F7,Solo,1,6
2018/04/13 2:08:34 AM EST,D5,Solo,1,2
2018/04/13 12:13:21 PM EST,D8,Squad,1,2
2018/04/14 12:51:23 AM EST,I8,Solo,1,4
2018/04/14 11:18:28 AM EST,C5,Squad,1,1
2018/04/14 12:42:31 PM EST,J5,Solo,11,1
2018/04/14 1:50:42 PM EST,G2,Solo,3,3
2018/04/14 3:38:26 PM EST,I3,Solo,1,2
2018/04/14 4:24:51 PM EST,F7,Solo,1,7
2018/04/14 9:13:48 PM EST,A6,Squad,1,2
2018/04/14 9:53:46 PM EST,E9,Solo,1,4
2018/04/15 12:46:37 AM EST,D6,Solo,1,12
2018/04/15 4:03:20 AM EST,E4,Solo,88,0
2018/04/15 12:16:08 PM EST,G2,Solo,1,6
2018/04/15 4:39:20 PM EST,H6,Duo,1,5
2018/04/15 7:31:03 PM EST,I8,Solo,2,2
2018/04/15 7:42:54 PM EST,J2,Solo,1,10
2018/04/15 7:43:11 PM EST,J2,Solo,1,10
2018/04/15 8:00:14 PM EST,J2,Solo,1,2
2018/04/15 11:09:48 PM EST,E6,Solo,1,5
2018/04/15 11:29:01 PM EST,B4,Squad,1,2
2018/04/16 4:08:26 PM EST,E4,Duo,27,0
2018/04/16 4:49:43 PM EST,H3,Solo,2,5
2018/04/16 8:36:06 PM EST,J6,Solo,5,22
2018/04/16 11:04:23 PM EST,G6,Solo,1,9
2018/04/17 9:03:52 AM EST,A5,Solo,15,3
2018/04/17 9:27:19 AM EST,B2,Solo,1,10
2018/04/17 10:03:15 AM EST,D5,Solo,1,4
2018/04/17 12:00:32 PM EST,C7,Squad,1,2
2018/04/17 4:41:36 PM EST,D7,Solo,1,9
2018/04/17 6:10:21 PM EST,D4,Solo,1,11
2018/04/18 1:48:37 AM EST,F10,Duo,1,5
2018/04/18 6:26:28 AM EST,J10,Solo,3,1
2018/04/18 9:37:46 AM EST,C3,Solo,1,5
2018/04/18 5:08:37 PM EST,B2,Solo,15,5
2018/04/18 10:11:49 PM EST,B3,Solo,16,6
2018/04/19 9:47:23 AM EST,E7,Solo,23,2
2018/04/19 10:04:48 AM EST,H6,Solo,10,2
2018/04/19 10:06:13 AM EST,F5,Solo,16,2
2018/04/20 1:36:51 AM EST,E4,Solo,1,6
2018/04/20 10:19:00 AM EST,D2,Squad,1,3
2018/04/20 2:19:28 PM EST,F7,Solo,2,5
2018/04/20 2:19:33 PM EST,F7,Solo,2,5
2018/04/20 2:19:38 PM EST,F7,Solo,2,5
2018/04/20 4:18:44 PM EST,A2,Duo,1,2
2018/04/20 8:07:16 PM EST,A5,Squad,1,5
